X,Y,lon,lat
144094.0,6837276.0,-4.521543411327385,48.397311075361664
144485.0,6820483.0,-4.494783642037218,48.24723878328595
144487.0,6820496.0,-4.494773418008552,48.24735693128412
144607.0,6820243.0,-4.492841196839451,48.24519309105991
144607.0,6846681.0,-4.526737393838211,48.4819769051139
144650.0,6835630.0,-4.511953633143844,48.383045045646135
144663.0,6835636.0,-4.511786544875051,48.38310989155857
144668.0,6835629.0,-4.511710339162532,48.38305147209864
144702.0,6838541.0,-4.514990648500652,48.40916023575333
144775.0,6838411.0,-4.513841766697899,48.408058380612175
144789.0,6838423.0,-4.513668852908641,48.40817781787712
144796.0,6835589.0,-4.509938063552966,48.38280260181556
144880.0,6856807.0,-4.536117398398793,48.57288742185387
145035.0,6836166.0,-4.507464506873179,48.388174410750416
