city,Operateur,2G,3G,4G
Melgven,20801,1,1,0
Melgven,20810,1,1,1
Melgven,20820,1,1,1
Melgven,20815,0,1,1
Trégunc,20820,1,1,1
Trégunc,20810,1,1,1
Trégunc,20801,1,1,1
Rosporden,20801,0,1,1
Rosporden,20820,1,1,1
Rosporden,20810,1,1,1
Plounéour-Ménez,20801,1,1,0
Plounéour-Ménez,20820,1,1,1
Plounéour-Ménez,20815,0,1,1
Plounéour-Ménez,20810,1,1,1
Carantec,20810,1,1,1
Carantec,20801,1,1,0
Carantec,20820,1,1,1
Névez,20801,1,1,0
Taulé,20815,0,1,1
Taulé,20801,1,1,0
Taulé,20820,1,1,0
Taulé,20810,1,1,0
Coray,20801,1,1,0
Pleyber-Christ,20810,1,1,1
Pleyber-Christ,20801,1,1,1
Pleyber-Christ,20820,1,1,1
Coray,20810,1,1,1
Coray,20820,1,1,1
Coray,20815,0,1,1
Sainte-Sève,20820,1,1,0
Sainte-Sève,20801,1,1,0
Pleyber-Christ,20815,0,1,1
Châteauneuf-du-Faou,20801,1,1,1
Châteauneuf-du-Faou,20820,1,1,1
Châteauneuf-du-Faou,20810,1,1,1
Locquénolé,20820,1,1,0
Locquénolé,20810,1,1,0
Locquénolé,20815,0,1,0
Locquénolé,20801,1,1,0
Plonévez-du-Faou,20810,1,1,1
Plonévez-du-Faou,20820,1,1,1
Névez,20801,1,1,1
Névez,20820,1,1,1
Névez,20810,1,1,1
Saint-Martin-des-Champs,20801,1,1,1
Saint-Martin-des-Champs,20801,0,1,0
Rosporden,20815,0,1,1
Saint-Martin-des-Champs,20820,1,1,1
Châteauneuf-du-Faou,20815,0,1,1
Saint-Martin-des-Champs,20810,1,1,1
Saint-Martin-des-Champs,20815,0,1,1
Pont-Aven,20801,1,1,0
Pont-Aven,20801,1,1,1
Pont-Aven,20810,1,1,1
Pont-Aven,20820,1,1,1
Pont-Aven,20815,0,1,1
Morlaix,20820,1,0,0
Morlaix,20810,1,1,0
Morlaix,20820,1,1,0
Morlaix,20801,1,1,0
Morlaix,20815,0,1,1
Plourin-lès-Morlaix,20815,0,1,1
Le Cloître-Saint-Thégonnec,20820,1,1,1
Le Cloître-Saint-Thégonnec,20810,1,1,1
Morlaix,20810,1,1,1
Morlaix,20820,1,1,1
Morlaix,20801,1,1,1
Plourin-lès-Morlaix,20801,1,1,1
Riec-sur-Bélon,20820,1,1,0
Riec-sur-Bélon,20820,1,1,1
Riec-sur-Bélon,20810,1,1,1
Landeleau,20801,1,1,0
Riec-sur-Bélon,20801,1,1,0
Garlan,20810,1,1,0
Plourin-lès-Morlaix,20801,1,1,0
Plourin-lès-Morlaix,20820,1,1,1
Plourin-lès-Morlaix,20810,0,0,1
Plougasnou,20820,1,1,0
Plougasnou,20810,1,1,1
Plougasnou,20820,1,1,1
Plougasnou,20801,1,1,1
Riec-sur-Bélon,20801,1,1,1
Garlan,20801,1,1,0
Plouyé,20820,1,1,1
Plouyé,20810,1,1,1
Plouyé,20815,0,1,0
Plouyé,20801,1,1,0
Scaër,20820,1,1,1
Scaër,20810,1,1,1
Huelgoat,20820,1,1,1
Huelgoat,20810,0,0,1
Plougonven,20810,1,1,0
Bannalec,20820,1,1,1
Bannalec,20810,1,1,1
Bannalec,20801,1,1,0
Moëlan-sur-Mer,20801,1,1,0
Berrien,20820,1,1,1
Berrien,20810,1,1,1
Scaër,20815,0,1,1
Scaër,20801,1,1,1
Plouigneau,20820,1,1,0
Plouigneau,20815,0,1,1
Landeleau,20820,1,1,1
Landeleau,20810,1,1,1
Le Trévoux,20820,1,1,1
Le Trévoux,20810,1,1,1
Le Trévoux,20801,1,1,0
